Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwagLabsSuite,Edge Chromium 125,,,19-05-2024 13:55:06,19-05-2024 13:55:42,35.473s,PASSED
,,,,,,,
Test Cases/SwagLabs,Edge Chromium 125,,,19-05-2024 13:55:16,19-05-2024 13:55:42,26.297s,PASSED
"openBrowser("""")",Edge Chromium 125,,,19-05-2024 13:55:16,19-05-2024 13:55:20,4.061s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 125,,,19-05-2024 13:55:20,19-05-2024 13:55:25,5.300s,PASSED
"setText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac (1)""), ""standard_user"")",Edge Chromium 125,,,19-05-2024 13:55:25,19-05-2024 13:55:27,2.219s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9 (1)""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 125,,,19-05-2024 13:55:27,19-05-2024 13:55:28,1.102s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/form""))",Edge Chromium 125,,,19-05-2024 13:55:28,19-05-2024 13:55:29,0.604s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71 (1)""))",Edge Chromium 125,,,19-05-2024 13:55:29,19-05-2024 13:55:33,4.147s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/button_ADD TO CART (1)""))",Edge Chromium 125,,,19-05-2024 13:55:33,19-05-2024 13:55:33,0.434s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/path (1)""))",Edge Chromium 125,,,19-05-2024 13:55:33,19-05-2024 13:55:35,1.377s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/a_CHECKOUT (1)""))",Edge Chromium 125,,,19-05-2024 13:55:35,19-05-2024 13:55:36,0.785s,PASSED
"setText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_Checkout Your Information_first-name (1)""), ""karthik"")",Edge Chromium 125,,,19-05-2024 13:55:36,19-05-2024 13:55:36,0.748s,PASSED
"setText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_Checkout Your Information_last-name (1)""), ""s"")",Edge Chromium 125,,,19-05-2024 13:55:36,19-05-2024 13:55:37,0.747s,PASSED
"setText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_Checkout Your Information_postal-code (1)""), ""654321"")",Edge Chromium 125,,,19-05-2024 13:55:37,19-05-2024 13:55:38,0.826s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/input_CANCEL_btn_primary cart_button (1)""))",Edge Chromium 125,,,19-05-2024 13:55:38,19-05-2024 13:55:39,0.908s,PASSED
"click(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/a_FINISH (1)""))",Edge Chromium 125,,,19-05-2024 13:55:39,19-05-2024 13:55:40,1.340s,PASSED
"verifyElementText(findTestObject(""Object Repository/SwagLabObject/Page_Swag Labs/h2_THANK YOU FOR YOUR ORDER (1)""), ""THANK YOU FOR YOUR ORDER"")",Edge Chromium 125,,,19-05-2024 13:55:40,19-05-2024 13:55:41,0.373s,PASSED
closeBrowser(),Edge Chromium 125,,,19-05-2024 13:55:41,19-05-2024 13:55:42,1.264s,PASSED
